image;total_calories;total_fat;total_carb;total_protein;total_mass
dish_1561060558.png;194.199.005;6.213;27.127.001;10.253;221.0
dish_1558635400.png;25.0;0.3;5.0;1.8;100.0
dish_1564690038.png;92.339.996;0.324;16.200.001;7.29;81.0
dish_1562963583.png;138.320.007;5.044;17.16;5.72;52.0
dish_1562871731.png;17.029.999;0.262;2.882;1.965;131.0
dish_1564589366.png;324.25;11.322.001;30.289.001;22.081.001;348.0
dish_1561576954.png;345.343.719;15.472.434;8.670.532;42.441.227;262.0
dish_1560356337.png;144.716.934;3.097.618;27.996.531;2.047.824;119.0
dish_1562617370.png;155.099.991;6.6;17.6;6.6;55.0
dish_1563295360.png;275.891.235;19.784.878;7.296.878;17.530.245;181.0
dish_1567110783.png;465.307.892;24.372.978;18.846.014;38.940.533;210.0
dish_1561739265.png;292.040.009;9.989;41.127.003;10.689;308.0
dish_1558629013.png;26.400.002;0.24;6.4;0.56;80.0
dish_1558546918.png;70.199.997;0.162;15.12;1.458;54.0
dish_1568320383.png;437.124.115;18.984.426;37.518.093;26.864.243;196.0
dish_1561577146.png;15.423.642;7.909.346;14.019.524;7.927.969;99.0
dish_1563908996.png;269.916.046;10.461.833;15.449.356;29.324.974;293.0
dish_1566317801.png;275.399.994;4.0;56.984.001;7.258;420.0
dish_1565897617.png;356.831.787;2.275.914;9.717.452;29.763.849;211.0
dish_1557853429.png;330.152.985;13.586.999;33.413.998;17.637.001;276.0
dish_1568666089.png;276.424.072;980.298;33.010.952;16.691.326;335.0
dish_1558378516.png;92.459.999;0.268;24.120.001;0.938;134.0
dish_1558379712.png;687.939.026;58.904.999;27.013;26.656;119.0
dish_1561666821.png;21.178.656;12.141.861;19.425.873;7.538.332;170.0
dish_1562959766.png;431.126.984;16.339.182;40.705.559;2.982.984;307.0
dish_1560356523.png;497.719.971;38.639.999;1.288;34.040.001;92.0
dish_1562702853.png;272.567.291;167.607;5.334.673;23.449.675;169.0
dish_1558722636.png;30.75;0.15;7.5;0.675;75.0
dish_1558027001.png;20.400.002;0.068;5.168;0.408;68.0
dish_1558460061.png;40.709.999;0.118;10.620.001;0.413;59.0
dish_1567020417.png;313.761.383;16.694.962;18.330.757;36.040.562;348.0
dish_1561666875.png;443.862.976;17.977.985;49.332.958;26.684.473;359.0
dish_1559846528.png;322.726.013;17.159;40.509.998;9.188;267.0
dish_1562168365.png;70.0;0.14;18.199.999;0.7;140.0
dish_1560368764.png;207.098.907;15.165.788;14.017.039;7.992.478;270.0
dish_1563913741.png;353.062.378;14.037.527;44.293.163;14.324.348;292.0
dish_1561481606.png;354.089.996;26.98;2.182;24.09;141.0
dish_1558381032.png;115.620.003;9.9;4.54;4.48;20.0
dish_1560369403.png;411.967.804;30.986.551;28.932.995;43.259.884;405.0
dish_1560367904.png;76.023.148;8.840.912;3.734.912;10.405.902;69.0
dish_1564590352.png;497.915.833;4.670.219;6.460.878;46.549.492;962.0
dish_1565118096.png;656.429.932;13.032;49.997.002;82.443.001;588.0
dish_1566590536.png;25.070.757;0.60339;5.030.649;0.453124;51.0
dish_1558724891.png;83.719.994;0.322;22.540.001;0.483;161.0
dish_1561574623.png;117.602.783;401.018;7.020.422;1.390.319;152.0
dish_1567785778.png;303.507.507;15.198.483;32.629.898;11.701.199;310.0
dish_1562700568.png;246.864.426;21.832.207;16.653.193;2.356.325;318.0
dish_1560874726.png;177.492.004;4.96;28.462.002;5.566;145.0
dish_1562008738.png;64.066.612;4.61;5.137.444;21.365;109.0
dish_1563563348.png;362.641.998;22.785.002;12.092.001;29.322.998;294.0
dish_1563897837.png;118.470.001;0.709;29.568.001;1.925;304.0
dish_1563389153.png;346.454.468;5.393.479;69.070.702;11.697.627;224.0
dish_1567625294.png;51.200.001;4.8;2.88;0.64;32.0
dish_1560527191.png;663.989.319;45.395.912;28.933.577;3.438.044;318.0
dish_1563823894.png;368.341.003;2.078.381;18.219.273;30.525.043;400.0
dish_1562785159.png;265.662.659;271.838;15.681.798;32.891.556;315.0
dish_1560887408.png;32.452.002;11.834.001;40.260.002;13.42;122.0
dish_1566415591.png;214.780.777;16.906.708;1.846.199;16.844.492;316.0
dish_1558640593.png;60.32;0.232;16.24;0.348;116.0
dish_1562686577.png;556.563.965;24.720.999;56.031.998;29.221.001;531.0
dish_1564675240.png;502.878.784;5.376.829;51.516.174;55.499.733;886.0
dish_1563910639.png;697.289.185;29.137.266;20.529.985;80.965.355;447.0
dish_1559843030.png;25.410.002;0.231;6.16;0.539;77.0
dish_1558641108.png;9.662.999;0.486;24.771;1.485;243.0
dish_1565118067.png;623.429.932;12.966;41.417;82.112.991;522.0
dish_1563811490.png;268.829.376;6.521.951;2.314.505;25.826.782;390.0
dish_1563303350.png;202.221.436;5.756.976;8.355.268;28.384.161;167.0
dish_1563306039.png;493.637.207;26.277.563;1.884.376;4.406.319;326.0
dish_1562094931.png;376.749.084;25.350.718;9.954.545;47.635.498;282.0
dish_1562946075.png;557.884.033;41.737.999;11.836;32.509.998;297.0
dish_1563566939.png;286.027.252;6.804.595;48.869.175;10.508.528;238.0
dish_1558028492.png;20.74;0.122;4.88;0.488;61.0
dish_1566331914.png;589.501.648;24.885.231;47.358.673;46.926.689;481.0
dish_1562690917.png;69.061.707;1.301.829;14.426.828;1.461.342;122.0
dish_1563309398.png;655.986.816;20.217.884;23.338.593;9.324.395;604.0
dish_1558028194.png;228.050.003;11.903.999;18.01;12.218;172.0
dish_1558722103.png;304.841.003;16.072.001;38.445;9.517;368.0
dish_1562959732.png;374.663.696;14.678.156;31.110.981;28.858.997;232.0
dish_1558029923.png;279.550.995;9.596;38.301.998;10.452.001;200.0
dish_1567021831.png;252.435.623;27.216.339;8.228.521;22.713.125;228.0
dish_1558637247.png;117.770.996;2.664;24.42;3.441;111.0
dish_1568666184.png;28.500.002;0.38;5.51;2.66;190.0
dish_1559059924.png;108.199.997;8.4;0.28;7.4;20.0
dish_1565640812.png;297.929.993;5.363;13.052.999;47.485.001;234.0
dish_1558721484.png;11.160.001;0.124;2.418;0.558;62.0
dish_1566414723.png;728.810.608;31.699.219;24.867.764;97.962.776;482.0
dish_1563476323.png;68.697.113;33.461.006;38.625.374;55.327.595;339.0
dish_1563551134.png;246.919.983;5.962;29.723.001;168.104;173.0
dish_1566331868.png;45.366.507;13.206.176;40.116.787;44.296.608;372.0
dish_1565728591.png;388.406.616;15.848.898;29.471.991;30.975.548;322.0
dish_1558378553.png;393.108.002;33.66;15.436;15.232;68.0
dish_1566934487.png;553.040.955;45.807.755;40.849.327;50.738.335;468.0
dish_1564169644.png;433.416.992;15.322;54.605;18.256.001;163.0
dish_1558115601.png;85.470.001;0.111;18.870.001;2.22;111.0
dish_1562009894.png;24.480.722;12.012.504;29.885.567;5.628.496;200.0
dish_1558629715.png;100.539.993;0.614;25.174.999;2.376;247.0
dish_1558630867.png;73.839.996;0.284;19.879.999;0.426;142.0
dish_1561148303.png;119.654.999;4.23;15.075.001;5.04;45.0
dish_1560444756.png;150.779.999;0.588;38.239.998;2.26;418.0
dish_1565897569.png;324.913.513;21.174.665;5.554.203;286.933;150.0
dish_1562945803.png;50.295.322;2.055.645;7.613.193;1.103;64.0
dish_1561739160.png;34.77;0.183;8.54;0.427;61.0
dish_1566502000.png;63.008.781;4.846.829;3.949.269;2.692.683;184.0
dish_1562008429.png;94.465.088;5.511.408;1.765.067;9.056.995;69.0
dish_1565034330.png;614.015.503;31.386.456;39.217.323;42.396.172;483.0
dish_1558458584.png;351.181;25.455;25.941;12.369;142.0
dish_1559845399.png;107.18;0.362;24.630.001;2.417;178.0
dish_1560369255.png;132.666.138;7.923.563;1.979.007;12.538.679;61.0
dish_1562613898.png;120.636.047;6.026.607;15.197.055;4.350.647;162.0
dish_1563476646.png;380.158.081;18.121.593;21.653.313;29.908.882;218.0
dish_1563550584.png;75.399.994;0.29;1.015;14.5;145.0
dish_1562007904.png;525.461.365;17.817.501;6.411.657;28.267.633;489.0
dish_1558632198.png;16.796.001;0.884;0.832;1.586;26.0
dish_1561749016.png;280.118.103;15.774.299;17.086.405;17.900.995;272.0
dish_1563827132.png;240.020.004;8.043.666;32.756.668;11.456.667;302.0
dish_1559238435.png;115.544.006;0.202;30.703.999;0.808;202.0
dish_1558027057.png;80.665.001;0.13;19.110.001;1.04;65.0
dish_1565382886.png;470.086.212;20.305.454;54.863.914;20.029.079;348.0
dish_1558459020.png;10.98;0.122;2.379;0.549;61.0
dish_1562085185.png;55.051.001;39.369.999;28.83;21.147.999;227.0
dish_1558641320.png;211.589.996;3.092;49.055.996;4.52;336.0
dish_1562099053.png;98.382.996;3.478;12.395;4.144;37.0
dish_1562785184.png;290.397.949;28.066.151;20.020.035;3.362.685;390.0
dish_1558639588.png;121.401.001;10.395;4.767;4.704;21.0
dish_1567526845.png;448.149.994;7.376;44.131.001;45.689.999;709.0
dish_1558468547.png;6.97;0.102;1.156;0.306;34.0
dish_1561577598.png;813.452.026;46.151.894;26.876.921;67.191.734;393.0
dish_1558723414.png;51.988.998;1.176;10.78;1.519;49.0
dish_1562945823.png;6.219.532;2.125.645;10.413.193;1.383;99.0
dish_1563294575.png;48.590.564;17.121.397;72.021.111;15.064.019;562.0
dish_1565812186.png;324.978.424;15.806.602;12.315.649;32.823.948;266.0
dish_1558724766.png;83.719.994;0.322;22.540.001;0.483;161.0
dish_1558641164.png;80.079.994;0.308;21.559.999;0.462;154.0
dish_1564170010.png;126.454.834;61.893.875;57.291.939;116.862.572;831.0
dish_1560799647.png;723.409.973;39.668.941;39.587.593;50.007.645;474.0
dish_1562775356.png;177.600.006;13.2;1.92;12.0;120.0
dish_1560974769.png;3.943.325.195;10.976.549;844.568.604;83.749.603;3051.0
dish_1565972674.png;613.592.834;44.663.322;9.929.046;41.692.604;426.0
dish_1556572657.png;41.399.998;3.852;2.268;0.288;36.0
dish_1558725112.png;554.059.021;39.556;40.523.003;21.851;330.0
dish_1562691566.png;100.613.655;2.766.634;6.886.634;11.730.732;187.0
dish_1563308323.png;27.059.999;0.132;6.6;0.594;66.0
dish_1558641442.png;103.386.002;1.751;21.809.999;3.946;211.0
dish_1558632475.png;118.832.001;2.688;24.639.999;3.472;112.0
dish_1563824377.png;454.046.021;28.374.001;12.238;38.936.001;338.0
dish_1563826272.png;645.126.465;34.261.852;44.186.893;41.229.122;261.0
dish_1562959024.png;319.233.582;19.740.429;30.234.995;22.257.004;183.0
dish_1558458438.png;3.22;0.056;0.504;0.406;14.0
dish_1562613918.png;133.659.988;6.603.672;16.706.305;4.750.154;207.0
dish_1558549008.png;20.700.001;0.23;4.485;1.035;115.0
dish_1564073677.png;108.967.804;5.668.293;9.771.708;4.507.317;92.0
dish_1565123816.png;250.916.733;12.352.043;13.950.899;19.241.669;110.0
dish_1565378680.png;92.418.648;2.752.427;15.020.389;3.302.913;81.0
dish_1558373352.png;69.0;0.2;18.0;0.7;100.0
dish_1566849269.png;24.985.202;17.626.001;9.452;16.304.001;153.0
dish_1559593746.png;156.962.936;12.440.333;9.556.887;3.499.168;186.0
dish_1560367715.png;597.531.189;26.680.105;40.813.663;44.518.318;305.0
dish_1559233627.png;64.919.998;5.04;0.168;4.44;12.0
dish_1560357427.png;93.749.001;0.241;21.931;1.205;241.0
dish_1563464651.png;312.0;9.2;46.645;10.868.001;130.0
dish_1557937157.png;355.25;22.122.999;14.700.001;24.341.999;271.0
dish_1558379324.png;16.32;0.096;3.84;0.384;48.0
dish_1566332193.png;527.450.012;29.494.001;18.466;51.841;504.0
dish_1559843690.png;61.740.002;0.342;14.05;1.751;134.0
dish_1561748274.png;558.514.648;28.200.544;27.625.929;48.040.081;260.0
dish_1559933818.png;115.066.795;6.580.434;1.220.121;503.466;154.0
dish_1561661850.png;648.975.952;25.375.412;67.575.478;35.485.809;264.0
dish_1566589933.png;89.060.005;5.856;2.318;9.76;122.0
dish_1560973936.png;75.243.256;5.829.186;6.022.747;1.078.271;44.0
dish_1560961179.png;153.919.998;11.44;1.664;10.400.001;104.0
dish_1562602832.png;144.182.281;5.482.155;15.514.251;9.786.214;188.0
dish_1560370137.png;89.644.272;700.289;5.694.383;2.551.919;104.0
dish_1565107119.png;426.374.634;13.054.049;24.603.952;4.555.122;562.0
dish_1558641037.png;60.839.996;0.234;16.379.999;0.351;117.0
dish_1559158354.png;21.0;0.24;4.2;1.44;60.0
dish_1561737200.png;478.582.001;32.230.999;5.929;37.081.001;262.0
dish_1560800836.png;479.399.994;20.4;54.399.998;20.4;170.0
dish_1565711527.png;484.807.251;32.015.488;3.392.815;18.478.689;302.0
dish_1558380181.png;374.936.005;18.373.999;32.721.001;29.021.999;313.0
dish_1562010865.png;37.624.295;26.149.803;7.233.953;28.117.785;216.0
dish_1562085672.png;122.084;1.932;19.458;6.21;46.0
dish_1558641358.png;24.25;0.291;4.85;1.746;97.0
dish_1559581236.png;296.926.727;21.685.364;4.042.251;19.817.259;212.0
dish_1558721827.png;886.523.071;66.524.002;59.541;32.415.001;429.0
dish_1561666923.png;53.963.855;22.059.612;55.690.098;34.942.749;425.0
dish_1562788506.png;114.587.997;2.592;23.76;3.348;108.0
dish_1558632445.png;526.070.984;45.045.002;20.657;20.384.001;91.0
dish_1562774180.png;164.083.557;6.538.097;24.856.129;3.047;181.0
dish_1561577731.png;274.257.721;13.256.033;1.337.958;26.309.046;334.0
dish_1558463690.png;43.295.401;32.034;30.032.001;15.807;241.0
dish_1558642458.png;23.0;0.276;4.6;1.656;92.0
dish_1559844611.png;55.889.999;0.162;14.580.001;0.567;81.0
dish_1565811588.png;348.484.161;21.454.355;7.568.845;31.213.434;263.0
dish_1563206601.png;293.797.668;9.194.207;17.494.774;30.980.963;337.0
dish_1564589025.png;48.810.734;1.243.902;8.956.099;0.497561;51.0
dish_1567537280.png;733.018.555;34.708.237;51.064.735;51.275.162;404.0
dish_1561060503.png;14.530.899;3.984;22.781;5.407;138.0
dish_1559233144.png;398.063.995;29.666;3.722;27.729;198.0
dish_1563220767.png;265.894.379;14.748.608;4.812.823;26.540.918;130.0
dish_1565727765.png;26.32;0.308;5.237;1.83;77.0
dish_1561661377.png;306.333.679;8.972.795;11.854.835;43.735.157;294.0
dish_1562963153.png;386.477.264;33.622.898;28.585.857;35.674.641;521.0
dish_1565378770.png;319.280.365;11.794.086;36.280.937;19.016.382;287.0
dish_1565640868.png;39.597.998;13.601.999;19.803.999;49.051.003;406.0
dish_1560887457.png;389.264.343;1.428.046;48.705.952;17.193.094;246.0
dish_1563909982.png;370.793.976;22.314.623;16.470.776;27.836.025;318.0
dish_1563304261.png;30.210.915;1.181.061;3.101.745;2.293.849;37.0
dish_1562008517.png;401.729.523;11.505.786;54.154.385;21.236.305;370.0
dish_1564429270.png;605.507.202;39.626.583;3.081.835;43.046.116;354.0
dish_1558724031.png;358.710.999;25.801.001;25.789.999;14.067;303.0
dish_1561574600.png;32.980.392;1.176.471;5.784.314;0.980392;100.0
dish_1564601470.png;15.841;0.073;3.723;0.511;73.0
dish_1558378634.png;874.966.003;64.777;44.301.998;37.979;315.0
dish_1560367698.png;556.721.252;26.010.103;33.583.664;43.318.321;295.0
dish_1559678457.png;624.236.084;3.750.322;29.983.656;43.010.422;465.0
dish_1560975572.png;96.990.005;2.158;16.068.001;5.584;159.0
dish_1560527745.png;87.761.002;0.596;5.364;14.900.001;149.0
dish_1567106794.png;102.338.257;10.138.825;1.695.728;2.020.698;48.0
dish_1562774129.png;73.083.549;2.898.097;11.336.127;1.539;77.0
dish_1567024112.png;274.075.806;10.111.193;29.513.386;15.335;116.0
dish_1562009098.png;70.080.002;4.608;1.824;7.68;96.0
dish_1565036788.png;18.612.999;6.58;23.450.001;7.84;70.0
dish_1564159636.png;487.873.688;37.411.686;5.267.181;314.161;134.0
dish_1561392543.png;126.004.929;8.808.466;12.171.466;0.9586;119.0
dish_1561405389.png;265.983.459;8.393.058;12.105.439;34.985.947;223.0
dish_1563823814.png;25.585.732;0.920258;4.275.406;0.587577;85.0
dish_1558630932.png;292.643.982;17.381.001;32.048;9.644;265.0
dish_1566332116.png;153.550.003;12.244;11.356;3.761;275.0
dish_1566847454.png;346.747.437;16.620.152;20.658.922;27.281.824;210.0
dish_1562789328.png;656.551.575;27.782.553;69.703.827;40.745.659;503.0
dish_1559678127.png;108.642.006;7.418.569;9.871.039;3.004.627;170.0
dish_1558725286.png;816.792.053;65.965.004;40.704.002;33.318.001;308.0
dish_1564685144.png;261.625;129.875;34.125;0.8775;50.0
dish_1562613376.png;371.963.898;2.407.642;16.677.065;23.388.559;267.0
dish_1568060414.png;53.598.557;2.133.646;7.950.584;2.632.836;146.0
dish_1566934430.png;519.542.847;43.782.825;37.582.497;49.058.041;361.0
